epoch;loss_train;accuracy_train;learning_rate;elapsed;loss_val;accuracy_val
98;0.1063;95.89;0.02;04:28;0.1366;94.01
99;0.1036;96.07;0.02;04:28;0.1315;94.32
100;0.1054;95.98;0.02;04:28;0.1362;94.42
101;0.1040;96.04;0.02;04:28;0.1389;93.66
102;0.1032;96.04;0.02;04:28;0.1408;94.04
103;0.1020;96.10;0.02;04:28;0.1314;94.31
104;0.1031;96.04;0.02;04:28;0.1242;94.74
105;0.1021;96.09;0.02;04:28;0.1620;92.99
106;0.1009;96.13;0.02;04:28;0.1435;93.98
107;0.1016;96.13;0.02;04:28;0.1431;93.70
108;0.0966;96.41;0.02;04:28;0.1508;93.42
109;0.0983;96.22;0.02;04:28;0.1390;93.88
110;0.0986;96.29;0.02;04:28;0.1454;93.70
111;0.0985;96.29;0.02;04:28;0.1322;94.47
112;0.0974;96.29;0.02;04:28;0.1341;94.18
113;0.0957;96.41;0.02;04:28;0.1318;94.32
114;0.0921;96.56;0.02;04:28;0.1324;94.46
115;0.0938;96.48;0.02;04:28;0.1375;94.00
116;0.0947;96.41;0.02;04:28;0.1237;94.80
117;0.0924;96.57;0.02;04:28;0.1376;94.10
118;0.0959;96.36;0.02;04:28;0.1326;94.27
119;0.0924;96.59;0.02;04:28;0.1293;94.30
120;0.0932;96.54;0.02;04:28;0.1401;93.90
121;0.0924;96.54;0.02;04:28;0.1345;94.39
122;0.0922;96.56;0.02;04:28;0.1349;94.28
123;0.0903;96.66;0.02;04:28;0.1337;94.14
124;0.0904;96.59;0.02;04:28;0.1375;94.14
125;0.0888;96.75;0.02;04:28;0.1325;94.45
126;0.0879;96.80;0.02;04:28;0.1362;94.22
127;0.0920;96.56;0.02;04:28;0.1253;94.56
128;0.0892;96.70;0.02;04:28;0.1200;94.95
129;0.0917;96.57;0.02;04:28;0.1273;94.56
130;0.0873;96.74;0.02;04:28;0.1218;94.68
131;0.0900;96.63;0.02;04:28;0.1253;94.76
132;0.0857;96.86;0.02;04:28;0.1262;94.52
133;0.0888;96.69;0.02;04:28;0.1354;94.18
134;0.0853;96.88;0.02;04:28;0.1243;94.61
135;0.0860;96.78;0.02;04:28;0.1492;93.56
136;0.0875;96.66;0.02;04:28;0.1395;93.95
137;0.0876;96.69;0.02;04:28;0.1256;94.64
138;0.0869;96.84;0.02;04:28;0.1342;94.43
139;0.0864;96.78;0.02;04:28;0.1253;94.62
140;0.0859;96.83;0.02;04:28;0.1211;94.66
141;0.0856;96.87;0.02;04:28;0.1355;94.31
142;0.0864;96.77;0.02;04:28;0.1234;94.58
143;0.0842;96.93;0.02;04:28;0.1432;93.87
144;0.0851;96.80;0.02;04:28;0.1276;94.54
145;0.0825;96.97;0.02;04:28;0.1378;94.10
146;0.0843;96.88;0.02;04:28;0.1319;94.25
147;0.0861;96.75;0.02;04:28;0.1241;94.69
148;0.0840;96.87;0.02;04:28;0.1348;94.24
149;0.0838;96.90;0.02;04:28;0.1151;95.04
150;0.0517;98.22;0.004;04:28;0.0877;96.16
151;0.0414;98.63;0.004;04:28;0.0868;96.26
152;0.0392;98.72;0.004;04:28;0.0820;96.46
153;0.0368;98.78;0.004;04:28;0.0850;96.36
154;0.0357;98.83;0.004;04:28;0.0857;96.30
155;0.0350;98.87;0.004;04:28;0.0823;96.46
156;0.0345;98.89;0.004;04:28;0.0825;96.42
157;0.0320;99.02;0.004;04:28;0.0816;96.45
158;0.0340;98.88;0.004;04:28;0.0808;96.42
159;0.0325;98.97;0.004;04:28;0.0809;96.67
160;0.0319;98.98;0.004;04:28;0.0790;96.63
161;0.0307;99.02;0.004;04:28;0.0823;96.34
162;0.0310;99.03;0.004;04:28;0.0802;96.50
163;0.0314;98.98;0.004;04:28;0.0813;96.48
164;0.0290;99.15;0.004;04:28;0.0787;96.66
165;0.0302;99.04;0.004;04:28;0.0788;96.60
166;0.0296;99.02;0.004;04:28;0.0794;96.50
167;0.0278;99.14;0.004;04:28;0.0840;96.26
168;0.0300;99.02;0.004;04:28;0.0815;96.39
169;0.0300;99.04;0.004;04:28;0.0793;96.52
170;0.0289;99.10;0.004;04:28;0.0817;96.39
171;0.0294;99.07;0.004;04:28;0.0831;96.30
172;0.0284;99.12;0.004;04:28;0.0788;96.47
173;0.0279;99.08;0.004;04:28;0.0815;96.46
174;0.0291;99.07;0.004;04:28;0.0801;96.49
175;0.0284;99.07;0.004;04:28;0.0800;96.51
176;0.0278;99.13;0.004;04:28;0.0844;96.30
177;0.0291;99.08;0.004;04:28;0.0795;96.45
178;0.0283;99.12;0.004;04:28;0.0799;96.52
179;0.0286;99.12;0.004;04:28;0.0812;96.49
180;0.0285;99.09;0.004;04:28;0.0817;96.33
181;0.0293;99.07;0.004;04:28;0.0821;96.38
182;0.0294;99.05;0.004;04:28;0.0806;96.50
183;0.0295;99.05;0.004;04:29;0.0818;96.48
184;0.0281;99.10;0.004;04:29;0.0817;96.45
185;0.0288;99.08;0.004;04:28;0.0819;96.43
186;0.0274;99.16;0.004;04:28;0.0816;96.32
187;0.0277;99.13;0.004;04:28;0.0811;96.50
188;0.0275;99.17;0.004;04:28;0.0806;96.59
189;0.0276;99.17;0.004;04:32;0.0824;96.42
190;0.0272;99.16;0.004;04:28;0.0817;96.46
191;0.0275;99.13;0.004;04:28;0.0798;96.61
192;0.0279;99.14;0.004;04:28;0.0806;96.53
193;0.0288;99.08;0.004;04:28;0.0797;96.52
194;0.0272;99.18;0.004;04:28;0.0792;96.56
195;0.0277;99.17;0.004;04:28;0.0792;96.49
196;0.0271;99.19;0.004;04:28;0.0771;96.61
197;0.0269;99.18;0.004;04:28;0.0819;96.44
198;0.0276;99.16;0.004;04:28;0.0781;96.56
199;0.0270;99.19;0.004;04:28;0.0810;96.50
200;0.0252;99.21;0.0008;04:28;0.0762;96.59
201;0.0239;99.30;0.0008;04:28;0.0746;96.64
202;0.0228;99.30;0.0008;04:34;0.0745;96.60
203;0.0224;99.38;0.0008;04:28;0.0750;96.75
204;0.0221;99.35;0.0008;04:28;0.0741;96.70
205;0.0223;99.32;0.0008;04:28;0.0730;96.76
206;0.0224;99.33;0.0008;04:28;0.0735;96.72
207;0.0227;99.29;0.0008;04:28;0.0753;96.66
208;0.0209;99.42;0.0008;04:28;0.0738;96.70
209;0.0220;99.33;0.0008;04:28;0.0735;96.79
210;0.0233;99.30;0.0008;04:28;0.0738;96.62
211;0.0219;99.38;0.0008;04:28;0.0744;96.79
212;0.0213;99.38;0.0008;04:28;0.0746;96.64
213;0.0218;99.36;0.0008;04:28;0.0740;96.76
214;0.0222;99.31;0.0008;04:28;0.0736;96.71
215;0.0219;99.34;0.0008;04:28;0.0726;96.74
216;0.0216;99.33;0.0008;04:28;0.0740;96.82
217;0.0220;99.35;0.0008;04:28;0.0734;96.76
218;0.0217;99.40;0.0008;04:35;0.0719;96.84
219;0.0214;99.36;0.0008;04:37;0.0720;96.75
220;0.0215;99.38;0.0008;04:37;0.0714;96.82
221;0.0219;99.32;0.0008;04:37;0.0718;96.78
222;0.0229;99.31;0.0008;04:37;0.0724;96.81
223;0.0200;99.46;0.0008;04:37;0.0715;96.90
224;0.0216;99.35;0.0008;04:37;0.0715;96.93
225;0.0209;99.39;0.0008;04:37;0.0719;96.82
226;0.0217;99.34;0.0008;04:37;0.0724;96.88
227;0.0216;99.35;0.0008;04:37;0.0722;96.79
228;0.0217;99.36;0.0008;04:37;0.0726;96.79
229;0.0213;99.40;0.0008;04:37;0.0726;96.73
230;0.0208;99.45;0.0008;04:37;0.0710;96.85
231;0.0204;99.38;0.0008;04:37;0.0718;96.84
232;0.0209;99.40;0.0008;04:37;0.0717;96.75
233;0.0205;99.43;0.0008;04:37;0.0722;96.93
234;0.0221;99.36;0.0008;04:37;0.0720;96.83
235;0.0217;99.32;0.0008;04:37;0.0721;96.89
236;0.0223;99.33;0.0008;04:37;0.0723;96.89
